Month,Total_Sales_Adjusted
1/1/1992,2073.432724
2/1/1992,2114.485812
3/1/1992,2260.570891
4/1/1992,2255.103236
5/1/1992,2331.414618
6/1/1992,2384.638567
7/1/1992,2417.165376
8/1/1992,2445.498729
9/1/1992,2387.351705
10/1/1992,2489.350838
11/1/1992,2598.186297
12/1/1992,2928.725684
1/1/1993,2284.619439
2/1/1993,2183.137948
3/1/1993,2449.195623
4/1/1993,2457.704334
5/1/1993,2552.87495
6/1/1993,2575.018055
7/1/1993,2639.280765
8/1/1993,2675.420536
9/1/1993,2617.522183
10/1/1993,2715.938414
11/1/1993,2935.795847
12/1/1993,3205.014815
1/1/1994,2293.212472
2/1/1994,2370.922974
3/1/1994,2773.780552
4/1/1994,2704.471016
5/1/1994,2802.466027
6/1/1994,2864.542221
7/1/1994,2885.029337
8/1/1994,3115.40008
9/1/1994,3034.529846
10/1/1994,3109.513158
11/1/1994,3350.938667
12/1/1994,3684.629979
1/1/1995,2727.755982
2/1/1995,2597.854474
3/1/1995,3004.819625
4/1/1995,2857.008678
5/1/1995,3086.648631
6/1/1995,3093.328024
7/1/1995,3089.756052
8/1/1995,3286.477645
9/1/1995,3240.296532
10/1/1995,3303.073067
11/1/1995,3651.703421
12/1/1995,3840.481182
1/1/1996,2885.94751
2/1/1996,2922.504597
3/1/1996,3288.310867
4/1/1996,3239.966271
5/1/1996,3425.30596
6/1/1996,3351.639399
7/1/1996,3476.957851
8/1/1996,3618.696445
9/1/1996,3442.929252
10/1/1996,3689.285254
11/1/1996,3977.986501
12/1/1996,4169.301338
1/1/1997,3298.628987
2/1/1997,3187.50161
3/1/1997,3569.630037
4/1/1997,3545.949618
5/1/1997,3756.235336
6/1/1997,3632.643142
7/1/1997,3776.271564
8/1/1997,3931.474346
9/1/1997,3834.90383
10/1/1997,4017.904365
11/1/1997,4275.168742
12/1/1997,4756.618689
1/1/1998,3672.827636
2/1/1998,3527.328126
3/1/1998,3901.750852
4/1/1998,3830.30594
5/1/1998,3956.222844
6/1/1998,4015.170147
7/1/1998,4119.484231
8/1/1998,4147.496301
9/1/1998,4042.08447
10/1/1998,4285.008257
11/1/1998,4600.63788
12/1/1998,5181.359379
1/1/1999,3798.332299
2/1/1999,3850.476849
3/1/1999,4373.616593
4/1/1999,4204.942204
5/1/1999,4336.650778
